Index,Manufacturer Part Number,Manufacturer Name,Description,Quantity,Part No on Site,Unit Price ,Extended Price,Link
1, CC0805KKX7R9BB104,YAGEO,CAP CER 0.1UF 250V X7T 0805,20,ST2009SD0086,0.023,$0.45,https://sharvielectronics.com/product/0-1uf-100nf-50v-capacitor-%c2%b110-tolerance-cc0805kkx7r9bb104-0805-package/
2, CC0805KKX7R8BB106 ,YAGEO,CAP CER 10UF 25V X5R 0805,10,ST2103SD2184,0.034,$0.34,https://sharvielectronics.com/product/10uf-1000nf-25v-capacitor-%c2%b110-tolerance-cc0805kkx7r8bb106-0805-package/
3,1×11 2.54 Mm Berg Strip,-,HEADER VERT 1x11 2.54MM,1,ST2136CO8090,0.056,$0.06,https://sharvielectronics.com/product/11x1-11pin-male-square-straight-header-connector-11mm-height-2-54mm-pitch/
4,19-21/BHC-AN1P2/3T,Everlight,LED BLUE CLEAR CHIP SMD,10,ST2009SD0353,0.037,$0.37,https://sharvielectronics.com/product/blue-smd-led-19-21-bhc-an1p2-3t-0603-package/
5,RC0603FR-071KL,YAGEO,RES SMD 1K OHM 0.1% 1/10W 0603,10,ST2103SD1187,0.015,$0.15,https://sharvielectronics.com/product/1k-ohm-1-10-watt-resistor-1-tolerance-rc0603fr-071kl-0603-package/
6,0603SAF1201T5E,Royal Ohm,RES SMD 1.2K OHM 0.1% 1/10W 0603,20, ST2009SD0388,0.0096,$0.02,https://sharvielectronics.com/product/1-2k-ohm-1-10-watt-resistor-1-tolerance-0603saf1201t5e-0603-package/
7,RC0402FR-07100RL,YAGEO,RES SMD 100 OHM 0.1% 1/16W 0402,20,ST2103SD0837,0.0096,$0.02,https://sharvielectronics.com/product/100-ohm-1-16-watt-smd-resistor-1-tolerance-rc0402fr-07100rl-0402-package/
8,Micro 5.9ZB5.7,SHOU HAN,CONN RCPT USB2.0 MICRO B SMD R/A,1,ST2103SD1926,0.14,$0.14,https://sharvielectronics.com/product/micro-5-9zb5-7-micro-usb-2-0-b-type-right-angle-female-connector-5pin-smd-package/
9,19-21/BHC-AN1P2/3T,Everlight,LED YELLOW CLEAR CHIP SMD,10,ST2009SD0353,0.037,$0.37,https://sharvielectronics.com/product/blue-smd-led-19-21-bhc-an1p2-3t-0603-package/
10,TAJC226M006RNJ,KYOCERA AVX,CAP TANT POLY 22UF 16V CASEC,5,ST2103SD1014,0.12,$0.60,https://sharvielectronics.com/product/22uf-6-3v-tantalum-capacitor-10-tolerance-tajc226m006rnj-case-c/
11,B340A-E3/61T / B340A-E3/5AT,Vishay General Semiconductor,DIODE SCHOTTKY 40V 3A SMAF,5,ST2103SD1960,0.2,$1.00,https://sharvielectronics.com/product/b340a-e3-61t-40v-3a-schottky-diode-do-214ac-package/
12,BWVS00505040220M00,ZXCOMPO,FIXED IND 22UH 2A SMD,1,ST2103SD1152,1,$1.00,https://sharvielectronics.com/product/nr6045-220-22uh-2-a-smd-inductor/
13,CRCW060313K3FKEAC,Vishay,RES SMD 13.3K OHM 1% 1/10W 0603,20, ST2103SD2348,0.008,$0.16,https://sharvielectronics.com/product/13-3k-ohm-1-10-watt-resistor-1-tolerance-crcw060313k3fkeac-0603-package/
14,3362P-1-104LF,Bourns Inc.,TRIMMER 100KOHM 0.5W PC PIN SIDE,1,ST2136CO6475,0.2,$0.20,https://sharvielectronics.com/product/100k-ohm-500mw-single-turn-cermet-trimmer-potentiometer-3362p-1-104-through-hole/
15,FS8205A,-,MOSFET 20V 6A,5,ST2103SD0926,0.07400,$0.47,https://sharvielectronics.com/product/fs8205a-dual-n-channel-power-mosfet-lithium-battery-protection-sot23-6-package/
16,TP4056,-,LINEAR CHARGER,1,ST2103SD2342,0.07400,$0.10,https://sharvielectronics.com/product/tp4056-4-2v-1a-standalone-linear-li-lon-battery-charger-esop-8-package/
17,DW01A,-,PROTECTION IC,1,ST2103SD0927,0.09900,$0.10,https://sharvielectronics.com/product/dw01a-lithium-battery-protection-ic-sot23-6/
18,MT3608,-,STEP UP CONVERTER,1,ST2103SD0818,0.15000,$0.15,https://sharvielectronics.com/product/mt3608-high-efficiency-1-2mhz-2a-step-up-converter-sot23-6-package/
19,Raspberry Pi Zero 2 W,Raspberry Pi,-,1,ST2001DV0171,18.2300,$18.23,https://sharvielectronics.com/product/raspberry-pi-zero-2-w/
20,20 x 2 PIN HEADER,-,FEMALE PIN HEADER 2X2,1,ST2136CO7815,0.65000,$0.65,https://sharvielectronics.com/product/2x20-pin-23-5mm-long-straight-female-berg-strip-2-54mm-pitch/
21,JST CONNECTOR,-,JST CONNECTOR 30CM,1,ST2136CO8727,0.10000,$0.10,https://sharvielectronics.com/product/jst-ph-2-2-pin-double-sided-female-to-female-connector-with-2mm-pitch-30cm-wire-length/
22,PAM8403,-,STEREO AMPLIFIER,1,ST2001SM0083,0.30000,$0.30,https://sharvielectronics.com/product/pam8403-5v-2-channel-stereo-audio-amplifier-module/
23,3.25in TFT,-,RPI,1,ST2001SM0288,12.5000,$12.50,https://sharvielectronics.com/product/3-5-inch-tft-lcd-touch-display/
24,Single Sided Universal PCB Prototype Board – 20×30 cm,-,PERFBOARD PCB PROTOTYPE BOARD,1,ST2106CO4011,4.3900,$4.39,https://sharvielectronics.com/product/single-sided-universal-pcb-prototype-board-20x30-cm/
25,3.5mm Female Stereo Audio Socket Headphone Jack Connector 5 Pin PCB Mount,-,FEMALE AUDIO JACK SWITCHING,1,ST2006CO0034,0.11000,$0.11,https://sharvielectronics.com/product/3-5mm-female-stereo-audio-socket-headphone-jack-connector-5-pin-pcb-mount/
26,8 Ohm 1 Watt Magnet Speaker 36mm Diameter With 2Pin Connector,-,SPEAKER 1W TOP PORT 9,1,ST2136CO7965,0.68000,$0.68,https://sharvielectronics.com/product/8-ohm-1-watt-magnet-speaker-36mm-diameter-with-2pin-connector/
27,Lipo Rechargeable Battery  LP88426B,-,Battery-3.7V/3300mAH,1,ST2001BY0284,4.75,$5.00,https://sharvielectronics.com/product/lipo-rechargeable-battery-3-7v-3300mah-lp88426b/
28,SS12F44,-,3 Pin Slide Switch,5,ST2136CO8564,0.072,$0.36,https://sharvielectronics.com/product/ss12f44-3pin-spdt-slide-switch-with-single-row-vertical-pcb-mountable-3mm-pitch/
29,CJMCU-4344 CS4344,,I2S DAC,1,ST2010SM1643,2.22,$2.22,https://sharvielectronics.com/product/cjmcu-4344-cs4344-digital-to-analog-stereo-audio-conversion-module/
,GST,,,,,,$10.00,
,PCB ,LION CIRCUITS,,,,,$10.64,
,,,,,TOTAL,,$70.88,
